Date,Open,High,Low,Close,Volume
20170125,78.5800,78.7200,77.1900,77.7200,8112800
20170126,79.2600,79.4700,78.0100,78.0200,8991500
20170127,78.0300,79.4500,77.7400,79.0600,9737300
20170130,77.9000,78.0800,77.3500,77.5200,8355200
20170131,75.5400,77.5400,75.2500,77.4000,11129400
20170201,76.2700,76.8700,75.8600,76.0600,7815800
20170202,75.8900,76.1000,75.3400,75.6100,4434500
20170203,76.5000,76.5600,76.0300,76.2900,4547000
20170206,76.2200,76.4700,75.8500,76.3800,4633000
20170207,76.1800,76.7500,76.0400,76.3700,4500900
20170208,75.9500,76.5500,75.9200,76.4900,5864700
20170209,75.3000,76.3500,75.2700,76.3000,6950500
20170210,75.1600,75.6600,74.5200,75.6200,6289400
20170213,75.5200,75.7400,75.3900,75.5300,5466200
20170214,75.6400,75.6400,75.3000,75.4600,3999800
20170215,75.6700,75.8100,74.9300,75.6500,5723300
20170216,76.2500,76.3200,75.5200,75.8000,4882000
20170217,76.4400,76.4400,75.6600,76.1100,3955300
20170221,77.0800,77.1300,76.5900,76.7900,4983100
20170222,77.2300,77.2800,76.8000,77.2000,4056600
20170223,77.1400,77.3800,76.6900,77.2300,4911300
20170224,77.2400,77.2400,76.4000,76.9400,3507300
20170227,77.1900,77.3400,76.7600,77.3100,3055400
20170228,76.6200,77.1700,76.4600,77.0600,4734300
20170301,78.1500,78.1800,76.6800,77.1300,5320500
20170302,78.0800,78.7600,77.9400,78.3600,7605500
20170303,77.8600,78.2000,77.4600,78.2000,3994800
20170306,78.3100,78.4600,77.4000,77.6900,4066400
20170307,79.1200,80.3700,78.2100,78.3500,10386300
20170308,79.3400,79.9400,79.1600,79.4400,5386500
20170309,79.1300,79.7900,78.8000,79.4900,4251600
20170310,80.3300,80.6300,79.3000,79.7200,5118200
20170313,81.0200,81.0900,80.1800,80.3200,5847900
20170314,81.0900,81.2100,80.6200,80.9500,4271400
20170315,81.8200,81.9500,80.9600,81.4200,3616900
20170316,81.7100,82.1800,81.3800,81.9900,4155400
20170317,82.2000,82.4400,81.4400,82.2400,9231700
20170320,81.5900,82.2700,81.5400,81.9900,4249800
20170321,79.7500,82.0800,79.6700,81.9300,6172200
20170322,80.6900,80.7900,79.5800,80.0900,4305600
20170323,80.6700,81.0400,80.2300,80.6900,3335200
20170324,80.5900,82.0500,80.4300,81.9200,4071200
20170327,80.5300,80.8200,79.7100,79.9500,3260800
20170328,80.6100,80.9900,80.2200,80.3000,3577900
20170329,80.4900,80.6600,80.2600,80.3500,2738500
20170330,81.0400,81.0800,80.2300,80.2300,3371600
20170331,80.5600,81.1500,80.5400,80.7900,3760900
20170403,80.3600,81.5000,79.7900,80.8700,4563900
20170404,80.6000,80.6700,80.1100,80.1100,2761500
20170405,80.0800,81.1800,79.9800,80.6000,3547900
20170406,80.1000,80.3700,79.4000,79.9800,4177700
20170407,80.5300,80.9200,80.0800,80.3000,2686800
